Tanggal,Hour_Created,Hour_Update,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-18,6,NULL,1,HD,not_yet,2218
2022-11-18,6,NULL,1,Person,not_yet,1086
2022-11-18,6,NULL,2,HD,not_yet,2785
2022-11-18,6,NULL,5,HD,not_yet,573
2022-11-18,6,NULL,5,LV,not_yet,233
2022-11-18,6,NULL,5,Person,not_yet,417
2022-11-18,7,NULL,1,HD,not_yet,2476
2022-11-18,7,NULL,1,LV,not_yet,3
2022-11-18,7,NULL,1,Person,not_yet,240
2022-11-18,7,NULL,2,HD,not_yet,2760
2022-11-18,7,NULL,2,Person,not_yet,123
2022-11-18,7,NULL,5,HD,not_yet,1353
2022-11-18,7,NULL,5,LV,not_yet,120
2022-11-18,7,NULL,5,Person,not_yet,89
2022-11-18,8,NULL,1,HD,not_yet,2512
2022-11-18,8,NULL,1,LV,not_yet,8
2022-11-18,8,NULL,1,Person,not_yet,76
2022-11-18,8,NULL,2,HD,not_yet,2131
2022-11-18,8,NULL,2,LV,not_yet,111
2022-11-18,8,NULL,2,Person,not_yet,112
2022-11-18,8,NULL,5,HD,not_yet,843
2022-11-18,8,NULL,5,LV,not_yet,186
2022-11-18,8,NULL,5,Person,not_yet,31
2022-11-18,9,NULL,1,HD,not_yet,32
2022-11-18,9,NULL,2,HD,not_yet,2206
2022-11-18,9,NULL,2,LV,not_yet,13
2022-11-18,9,NULL,2,Person,not_yet,46
2022-11-18,9,NULL,5,HD,not_yet,1282
2022-11-18,9,NULL,5,LV,not_yet,197
2022-11-18,9,NULL,5,Person,not_yet,7
2022-11-18,10,NULL,1,HD,not_yet,1658
2022-11-18,10,NULL,1,Person,not_yet,85
2022-11-18,10,NULL,2,HD,not_yet,174
2022-11-18,10,NULL,2,LV,not_yet,287
2022-11-18,10,NULL,2,Person,not_yet,503
2022-11-18,10,NULL,5,HD,not_yet,1034
2022-11-18,10,NULL,5,LV,not_yet,1097
2022-11-18,10,NULL,5,Person,not_yet,2
2022-11-18,11,NULL,1,HD,not_yet,1921
2022-11-18,11,NULL,1,LV,not_yet,2
2022-11-18,11,NULL,1,Person,not_yet,60
2022-11-18,11,NULL,2,HD,not_yet,811
2022-11-18,11,NULL,2,LV,not_yet,468
2022-11-18,11,NULL,2,Person,not_yet,787
2022-11-18,11,NULL,5,HD,not_yet,1173
2022-11-18,11,NULL,5,LV,not_yet,264
2022-11-18,11,NULL,5,Person,not_yet,6
2022-11-18,12,NULL,1,HD,not_yet,2859
