index,Image,Object_id,Length,Width,Area
8,Tahap2-a-209.txt,LV,20.0,12.0,240.0
11,Tahap2-a-209.txt,LV,26.67,12.0,320.04
12,Tahap2-a-209.txt,LV,28.0,10.0,280.0
20,Tahap2-a-221.txt,LV,20.0,12.0,240.0
21,Tahap2-a-221.txt,LV,22.67,12.67,287.2289
22,Tahap2-a-221.txt,LV,26.0,12.0,312.0
23,Tahap2-a-221.txt,LV,26.0,8.0,208.0
33,Tahap2-a-215.txt,LV,20.0,12.0,240.0
35,Tahap2-a-215.txt,LV,26.67,12.0,320.04
36,Tahap2-a-215.txt,LV,28.0,10.0,280.0
37,Tahap2-a-215.txt,LV,31.33,13.33,417.6289
38,Tahap2-a-215.txt,LV,21.33,9.33,199.0089
49,Tahap2-a-217.txt,LV,20.0,12.0,240.0
51,Tahap2-a-217.txt,LV,29.33,14.0,410.62
52,Tahap2-a-217.txt,LV,26.67,12.0,320.04
53,Tahap2-a-217.txt,LV,28.0,10.0,280.0
64,Tahap2-a-222.txt,LV,20.0,12.0,240.0
65,Tahap2-a-222.txt,LV,22.67,12.67,287.2289
66,Tahap2-a-222.txt,LV,26.0,12.0,312.0
67,Tahap2-a-222.txt,LV,26.0,8.0,208.0
73,Tahap2-a-218.txt,LV,32.67,9.33,304.8111
78,Tahap2-a-218.txt,LV,32.0,14.67,469.44
90,Tahap2-a-216.txt,LV,20.0,12.0,240.0
92,Tahap2-a-216.txt,LV,29.33,14.0,410.62
93,Tahap2-a-216.txt,LV,26.67,12.0,320.04
94,Tahap2-a-216.txt,LV,28.0,10.0,280.0
104,Tahap2-a-226.txt,LV,20.0,12.0,240.0
105,Tahap2-a-226.txt,LV,22.67,12.67,287.2289
106,Tahap2-a-226.txt,LV,26.0,12.0,312.0
107,Tahap2-a-226.txt,LV,26.0,8.0,208.0
110,Tahap2-a-225.txt,HD,43.33,18.67,808.9711000000001
112,Tahap2-a-225.txt,HD,31.33,17.33,542.9488999999999
113,Tahap2-a-225.txt,HD,34.67,18.67,647.2889000000001
114,Tahap2-a-213.txt,HD,25.33,12.67,320.9311
115,Tahap2-a-213.txt,HD,16.0,11.33,181.28
116,Tahap2-a-213.txt,HD,52.0,18.0,936.0
117,Tahap2-a-213.txt,HD,34.0,16.67,566.7800000000001
118,Tahap2-a-213.txt,HD,38.0,18.67,709.46
119,Tahap2-a-213.txt,HD,36.0,18.0,648.0
122,Tahap2-a-21.txt,Person,7.33,22.67,166.17110000000002
123,Tahap2-a-21.txt,Person,9.33,24.67,230.1711
132,Tahap2-a-210.txt,LV,20.0,12.0,240.0
135,Tahap2-a-210.txt,LV,26.67,12.0,320.04
136,Tahap2-a-210.txt,LV,28.0,10.0,280.0
147,Tahap2-a-219.txt,LV,20.0,12.0,240.0
148,Tahap2-a-219.txt,LV,31.33,12.67,396.9511
149,Tahap2-a-219.txt,LV,26.0,12.0,312.0
150,Tahap2-a-219.txt,LV,26.0,8.0,208.0
162,Tahap2-a-220.txt,LV,20.0,12.0,240.0
163,Tahap2-a-220.txt,LV,29.33,13.33,390.9689
164,Tahap2-a-220.txt,LV,26.0,12.0,312.0
165,Tahap2-a-220.txt,LV,26.0,8.0,208.0
175,Tahap2-a-227.txt,LV,20.0,12.0,240.0
176,Tahap2-a-227.txt,LV,22.67,12.67,287.2289
177,Tahap2-a-227.txt,LV,26.0,12.0,312.0
178,Tahap2-a-227.txt,LV,26.0,8.0,208.0
